merchant_id|longitude|latitude|token
RYmbpFdWetXVhY|35.099628|-122.250490|1c7908b37f923ec8190a498e90439b20b7620da54980ab8ddda5a198e7caa711
XwvmoGjgxiHQOy|47.493143|-89.821732|1c7908b37f923ec8190a498e90439b20b7620da54980ab8ddda5a198e7caa711
CcUmnviVzUMZoz|33.563580|-78.691291|1c7908b37f923ec8190a498e90439b20b7620da54980ab8ddda5a198e7caa711
IhEVjsekkeZUyM|40.933347|-76.499309|f32fc3d3c4a0e620f583ef3f9ca4b6f80f45acb5b19924243a0db38605693dd1
xMkFgOawvtQkOP|41.364832|-89.788096|f32fc3d3c4a0e620f583ef3f9ca4b6f80f45acb5b19924243a0db38605693dd1
xNGoKAAnwrLzxy|29.211811|-84.218661|f32fc3d3c4a0e620f583ef3f9ca4b6f80f45acb5b19924243a0db38605693dd1
gPriLBPewTdWxy|32.057123|-79.061317|38f0ca8bfb9b19c927102f0c69b80717d5b419a46389831d95635759f196a703
swQXAufHcSHjwV|64.884572|-122.026406|38f0ca8bfb9b19c927102f0c69b80717d5b419a46389831d95635759f196a703
FiXlEfDRpSuNeN|33.414466|-95.258622|38f0ca8bfb9b19c927102f0c69b80717d5b419a46389831d95635759f196a703
sGZikpQmmFEvCb|32.493392|-89.607566|5610e6c00210e8c1de7102320d651f3fabd47794c84b160e5dea660b87174ce6
JNjKdIMjvciKEx|45.996948|-121.148931|5610e6c00210e8c1de7102320d651f3fabd47794c84b160e5dea660b87174ce6
zKsdnjxheBhfgK|42.737455|-156.338639|5610e6c00210e8c1de7102320d651f3fabd47794c84b160e5dea660b87174ce6
gxJYBtOOVLgZWw|38.770660|-82.368742|eb8fa4b3c7c833a6aa404cb2a590d12c2e9152c8a9d9f4a5863c9b2d292b4f5d
fXQwjgGCCJMLRl|37.924969|-97.416450|eb8fa4b3c7c833a6aa404cb2a590d12c2e9152c8a9d9f4a5863c9b2d292b4f5d
OjdLiFBdueXWxI|35.636775|-119.174833|eb8fa4b3c7c833a6aa404cb2a590d12c2e9152c8a9d9f4a5863c9b2d292b4f5d
GQpmtiObDRbiZp|41.225976|-72.007617|ce8a3bb1bb4ce8cccbd3f575d1ab523997a51855a5894071d6191a8bb442e3d8
qAbhzObGsanhJU|25.426002|-76.446909|ce8a3bb1bb4ce8cccbd3f575d1ab523997a51855a5894071d6191a8bb442e3d8
OpqwSrQwfILzws|47.163515|-91.817504|ce8a3bb1bb4ce8cccbd3f575d1ab523997a51855a5894071d6191a8bb442e3d8
LHCFVPJUTrSUEW|41.336192|-94.626895|40cbcff3cf5e22fe68e796ffeea51e77cc7020c8dc93f657bad5e9eec21e5867
tyfFLmfdmLroth|41.709007|-83.851070|40cbcff3cf5e22fe68e796ffeea51e77cc7020c8dc93f657bad5e9eec21e5867
KWNxguFbFvydeH|35.231461|-81.321261|40cbcff3cf5e22fe68e796ffeea51e77cc7020c8dc93f657bad5e9eec21e5867
dpVNqYdHPSHMmO|43.308525|-96.971101|113d7c37ffa29b98e0d64c5eed85818f9950c25b06055cbe649c7f9592a3e42f
CpRwLyKtyoYzan|34.548992|-81.714837|113d7c37ffa29b98e0d64c5eed85818f9950c25b06055cbe649c7f9592a3e42f
QQlwJfffnmCNNS|38.337499|-83.637075|113d7c37ffa29b98e0d64c5eed85818f9950c25b06055cbe649c7f9592a3e42f
PakmdvdxKGjYQJ|32.601968|-118.987743|2e7cd8f2b66dc9894e0fe1103651756488ef77d98ee08b9af75228f0916b8600
tQypXzKpUycdsw|38.469046|-121.508364|2e7cd8f2b66dc9894e0fe1103651756488ef77d98ee08b9af75228f0916b8600
gPIUdXTWvtWFUY|40.742380|-90.025443|2e7cd8f2b66dc9894e0fe1103651756488ef77d98ee08b9af75228f0916b8600
XXQUoKehtrJmJX|44.974081|-123.097029|903dc969e704110c2285cbcb7a2a7b81280385c51b86e31d4166290888340656
iYsfjVRIdHbmdI|35.508719|-91.121136|903dc969e704110c2285cbcb7a2a7b81280385c51b86e31d4166290888340656
CSkPGeNNtndFpm|42.380776|-89.179899|903dc969e704110c2285cbcb7a2a7b81280385c51b86e31d4166290888340656
bhFNWBWIcNhDuz|35.289132|-76.961873|e2760ae1775c1cde2538bfacd274619fb41cfdf2bbeb6b6f4eba417f7c576ae7
ZqSRqubKziUxmy|37.576364|-86.997038|e2760ae1775c1cde2538bfacd274619fb41cfdf2bbeb6b6f4eba417f7c576ae7
CHiltQiYcZmKyd|41.549011|-118.521495|e2760ae1775c1cde2538bfacd274619fb41cfdf2bbeb6b6f4eba417f7c576ae7
jWcRNudKLPJQuH|33.942862|-89.260716|1f499d037f3fd4c6befb9ba67f81feb69ad667639246c9cd163be1d87d3e13d1
SmkWjgnfXWQYeY|39.485135|-92.958117|1f499d037f3fd4c6befb9ba67f81feb69ad667639246c9cd163be1d87d3e13d1
JfvSvPROLrARwD|43.813195|-85.217443|1f499d037f3fd4c6befb9ba67f81feb69ad667639246c9cd163be1d87d3e13d1
jYAGderNrtTLJb|33.855817|-78.682590|ed3dda15b6a1d8ba737bfeed32b44248fab1a4f070b972ee8dbd89954be0b156
eFLDhxUPLxwOYA|42.234110|-77.977327|ed3dda15b6a1d8ba737bfeed32b44248fab1a4f070b972ee8dbd89954be0b156
tlYZQRYODckEzS|36.748257|-122.404627|ed3dda15b6a1d8ba737bfeed32b44248fab1a4f070b972ee8dbd89954be0b156
LscYOGeHficFzb|45.648152|-83.657308|64658cf06d11f205d1566878cfd22e5b21dd8f82b7e0eb4047bd2546451a7a4a
mtdNCgNXyUFsyY|41.958848|-105.740844|64658cf06d11f205d1566878cfd22e5b21dd8f82b7e0eb4047bd2546451a7a4a
zGrCWZGlQpRVUq|42.836862|-71.239097|64658cf06d11f205d1566878cfd22e5b21dd8f82b7e0eb4047bd2546451a7a4a
xcBxhkTjpzGzio|46.463942|-102.027549|28c1996c5295c86a7394e2544a5c29dc5df0e9533cdfe55f0bae6088f552b2f6
RxZNKrBDxfqApD|41.816785|-76.751170|28c1996c5295c86a7394e2544a5c29dc5df0e9533cdfe55f0bae6088f552b2f6
VUsVpvpwOAQkuZ|35.245679|-118.728039|28c1996c5295c86a7394e2544a5c29dc5df0e9533cdfe55f0bae6088f552b2f6
mWDBsPJaVzmFws|34.350763|-90.903371|f47cd51ba62e0b9b48805dd8166b2345a73325969393ac1106c5cd5da8ed2f85
KuUHyFyInSBRMw|41.734084|-90.774142|f47cd51ba62e0b9b48805dd8166b2345a73325969393ac1106c5cd5da8ed2f85
bmOJwvAGKrRscf|37.169456|-106.190610|f47cd51ba62e0b9b48805dd8166b2345a73325969393ac1106c5cd5da8ed2f85
ErlPXfDbNxRRGv|39.845949|-89.709638|88a45a77026779b19ee7621426d0800570f4e3e9d3975d8c57011b1be9fcc9f5
PvnrDNNTDCwpMe|38.710371|-97.732509|88a45a77026779b19ee7621426d0800570f4e3e9d3975d8c57011b1be9fcc9f5
xEcBiQIWUpTuyH|33.240376|-85.087416|88a45a77026779b19ee7621426d0800570f4e3e9d3975d8c57011b1be9fcc9f5
qDTTwFYfPNsHkC|37.921107|-76.058433|2827bde848599236213ae6173930fc80051919338a1a71496186ab668b9df4af
jSAwMvXnxifKuS|39.917222|-99.312717|2827bde848599236213ae6173930fc80051919338a1a71496186ab668b9df4af
VwKKmqEYwzKBBJ|45.003792|-113.717504|2827bde848599236213ae6173930fc80051919338a1a71496186ab668b9df4af
hcbcIwCUXDRvTL|27.282778|-86.318245|262047ce8960d9a3d327e552c87dd8f4cc0d1586af9ee8b4467e90b030cbda8b
zXHybNBWjlFyNk|42.679523|-92.746455|262047ce8960d9a3d327e552c87dd8f4cc0d1586af9ee8b4467e90b030cbda8b
BJgzblQvivuRky|44.112132|-98.205344|262047ce8960d9a3d327e552c87dd8f4cc0d1586af9ee8b4467e90b030cbda8b
edoLaRwOkLajWA|36.549821|-120.218481|62f934a67d2bbffd18c48ce37822ed90ce78fc9ad51fa21f51508c2df3613954
mhftNqDCefUBVs|45.664335|-122.575108|62f934a67d2bbffd18c48ce37822ed90ce78fc9ad51fa21f51508c2df3613954
wjhlKQGfYrFdvG|31.431876|-75.445866|62f934a67d2bbffd18c48ce37822ed90ce78fc9ad51fa21f51508c2df3613954
uioYfmIQmiwqvp|35.886179|-78.823403|c715cf2e75c163e7b2258623adab8ee5a7f6be3a1aa5c35875fd394b7250fece
MhbAHYnwRMSoZA|40.372281|-83.094611|c715cf2e75c163e7b2258623adab8ee5a7f6be3a1aa5c35875fd394b7250fece
iIchdpkRCmvRTN|43.808840|-77.442864|c715cf2e75c163e7b2258623adab8ee5a7f6be3a1aa5c35875fd394b7250fece
uXmBiCaeaPxfdO|42.154656|-98.573265|20294093ca85cfc273d71b1053a9deddd188038cd1ab79437073dbbd2cb444b5
CcNQnxYjvsEXlA|42.947456|-82.644184|20294093ca85cfc273d71b1053a9deddd188038cd1ab79437073dbbd2cb444b5
ainJUQnJCOqbdV|44.677599|-73.993266|20294093ca85cfc273d71b1053a9deddd188038cd1ab79437073dbbd2cb444b5
aVoHSslveFEEyu|38.738317|-117.174695|fcaf5982f3b8f8fd73109f99f6a353ebc7e253acca69d608a87e79db584c956a
RonMCOrPkAVDuz|41.712532|-92.756721|fcaf5982f3b8f8fd73109f99f6a353ebc7e253acca69d608a87e79db584c956a
HhmohefusvdMya|37.294909|-75.069547|fcaf5982f3b8f8fd73109f99f6a353ebc7e253acca69d608a87e79db584c956a
xeyNhkVNmCPZGT|45.392561|-87.219639|63fccd0bdbc86900f6fa02f67e6a8b62b8476a3ab66821fea691f957be760845
GnsgyYrJfHnwKB|44.471696|-75.120190|63fccd0bdbc86900f6fa02f67e6a8b62b8476a3ab66821fea691f957be760845
qwgvhbIyzzsRKr|39.877550|-85.106677|63fccd0bdbc86900f6fa02f67e6a8b62b8476a3ab66821fea691f957be760845
BPeDkbQIXflKIK|47.765462|-97.456367|33ef9b23d3e10bddb0511f50798eab8acb4c55b18f1a193f3e91459ed4e0061c
zhxppBSpvnjNVn|27.292106|-122.640773|33ef9b23d3e10bddb0511f50798eab8acb4c55b18f1a193f3e91459ed4e0061c
LmBcqcYSMJniHs|32.936202|-105.664883|33ef9b23d3e10bddb0511f50798eab8acb4c55b18f1a193f3e91459ed4e0061c
AFJaumrXVLUYUU|33.165748|-86.251736|71176093e65128c497c45867933d956548df2a5b3d7459ad25846b7328acb21b
ksRgRPGUwUISBr|46.185636|-90.688996|71176093e65128c497c45867933d956548df2a5b3d7459ad25846b7328acb21b
PbixZCtVlyCHVV|40.959096|-84.593882|71176093e65128c497c45867933d956548df2a5b3d7459ad25846b7328acb21b
OEkFrHNraTIYdc|30.139067|-109.486066|1418d734fd8c934716ebbfaaf77d02427a1ab82aaaed20411eaa9fe879fbee84
OUxPucBmkfBKkv|44.721308|-82.017447|1418d734fd8c934716ebbfaaf77d02427a1ab82aaaed20411eaa9fe879fbee84
gshBuVNGZAyQcp|40.095240|-116.675447|1418d734fd8c934716ebbfaaf77d02427a1ab82aaaed20411eaa9fe879fbee84
ibwOKCajteAHCW|39.402963|-82.800248|56a8c1d4e0b138a7e7e8b8dda05cb8498d461a646a146e00a0e40c1e40434721
qgErMAEBEbOztq|30.249689|-75.054682|56a8c1d4e0b138a7e7e8b8dda05cb8498d461a646a146e00a0e40c1e40434721
jXaJrroSAjIcgU|27.684946|-78.217592|56a8c1d4e0b138a7e7e8b8dda05cb8498d461a646a146e00a0e40c1e40434721
ZnrsKKehjkHSZq|38.647349|-115.792480|b6448dd22c9b2cc44e88e13ab2ce7b98704641304b580b0f70366860b9576697
fnaMloYdNUlBUF|38.203544|-95.613710|b6448dd22c9b2cc44e88e13ab2ce7b98704641304b580b0f70366860b9576697
ypdiUSCEnsSgCP|42.005905|-122.084450|b6448dd22c9b2cc44e88e13ab2ce7b98704641304b580b0f70366860b9576697
EtIqtzHLAyoynp|37.090845|-73.613672|78f3bf62163e111945ea97301b869865d8e47420151588edcabc944266d86e73
dGzBBmRtKejred|40.400206|-83.704421|78f3bf62163e111945ea97301b869865d8e47420151588edcabc944266d86e73
tBTyFmYSYSOvqK|37.290431|-90.418411|78f3bf62163e111945ea97301b869865d8e47420151588edcabc944266d86e73
ZGZyiMfrsAUcGt|40.865476|-72.455577|dd023f9bb6a806e89a55672356533b7fcd091c6f076d1b58eeb1adc4c1d78038
UyVKUOYbUprQdx|35.914758|-91.373879|dd023f9bb6a806e89a55672356533b7fcd091c6f076d1b58eeb1adc4c1d78038
UFYCCnEjmaiSNV|43.713823|-80.370192|dd023f9bb6a806e89a55672356533b7fcd091c6f076d1b58eeb1adc4c1d78038
OJvDrLUxEbAoEH|40.675976|-90.670189|a1850dfe60ac0f273c27d88d3e6a130909076b2032a80dddc74c63b8fb5ed336
wXVzilOeLMlctP|37.612006|-83.581880|a1850dfe60ac0f273c27d88d3e6a130909076b2032a80dddc74c63b8fb5ed336
blmkIAyvpzOydd|33.876957|-73.637524|a1850dfe60ac0f273c27d88d3e6a130909076b2032a80dddc74c63b8fb5ed336
hHzcDDqdITpGWs|35.173810|-82.925750|594d6feb4540aed256dfcaf7c1a4aafd453881131018aa7de4929b677621cc9d
wlOzmQKOMIilZY|42.508851|-70.765310|594d6feb4540aed256dfcaf7c1a4aafd453881131018aa7de4929b677621cc9d
wYtzXhLdnNRxGq|38.043116|-96.517294|594d6feb4540aed256dfcaf7c1a4aafd453881131018aa7de4929b677621cc9d
KFnujalpSouROZ|29.299162|-78.503322|f7478c1c7366eeff157a60d7735699051c749baa1ad40c31c95698486bca4501
NTeHVsrVuGOkyM|32.570185|-74.305548|f7478c1c7366eeff157a60d7735699051c749baa1ad40c31c95698486bca4501
DyGgnWvDMWnOTn|40.502973|-111.814734|f7478c1c7366eeff157a60d7735699051c749baa1ad40c31c95698486bca4501
GpEnPGoyjeoiWj|40.276790|-86.236110|0a53753debadf6b25a972c6cf597ad5c9d8a297bea15d7f5c70f90bb87845124
xmNZuSlmUlqWbm|29.897316|-80.311081|0a53753debadf6b25a972c6cf597ad5c9d8a297bea15d7f5c70f90bb87845124
jRtJhUpGbUanZM|31.180290|-83.472223|0a53753debadf6b25a972c6cf597ad5c9d8a297bea15d7f5c70f90bb87845124
aJUMhYaqTlZaou|38.906216|-108.690119|3a7b8d9b557889c104d766db66c7f80dd18420ef7340e9ceab4c700801a8f852
FdaNiGJXojfslQ|45.029842|-122.072559|3a7b8d9b557889c104d766db66c7f80dd18420ef7340e9ceab4c700801a8f852
MTUdQoeLlHymsO|36.552328|-76.116792|3a7b8d9b557889c104d766db66c7f80dd18420ef7340e9ceab4c700801a8f852
BmvmAaSZIYfKSl|37.816333|-86.696474|7bc04e46515e3edf6d9e86f6a5c8297eecd0e7a87ea63de5fb0911a0abdcf7e1
