merchant_id|merchant_name|mcc|email|street|city|state|country|zip|latitude|longitude|owner_id|owner_name|terminal_ids
RYmbpFdWetXVhY|Mandalay Bay Resort|3777|jordanreid@mandalay.net|9206 Chaney Cove|||US||-122.250490|35.099628|yEvkGJreAR|Daniel Sanchez|tid-t1-3443306g
XwvmoGjgxiHQOy|Scott, Hanson and Bullock Opticians, LLC|8043|michelerobinson@scott.net|09442 Greene Mission|||US||-89.821732|47.493143|CwiWSJZErg|Kelly Graham|tid-R1-4052823f
CcUmnviVzUMZoz|Eldarado Hotel And Casino|3669|hcisneros@eldarado.net|217 Smith Ports|||US||-78.691291|33.563580|rHXOIOkAKi|Natasha Kemp|tid-g6-4165113i
IhEVjsekkeZUyM|Zambia Airways|3094|johnvillarreal@zambia.net|2862 Shane Alley|||US||-76.499309|40.933347|QqWeRkGhLa|James Moss|tid-E7-1194628z
xMkFgOawvtQkOP|Downtowner-Passport Hotel|3527|tamarasmith@downtownerpassport.net|950 Joshua Rest|||US||-89.788096|41.364832|ZcMGvFEsoc|Shirley Bennett|tid-f6-4079215z
xNGoKAAnwrLzxy|Dan Hotels|3629|xflores@dan.net|7563 Michael Course|||US||-84.218661|29.211811|NyCpLhsBaw|Thomas Werner|tid-N4-8948782S
gPriLBPewTdWxy|Pena LLC Chemicals LLC|5169|stevenfitzgerald@pena.net|2558 Danielle Squares|||US||-79.061317|32.057123|MHBtlApyjV|Shawn Knight|tid-X2-5431258X
swQXAufHcSHjwV|Stewart, Thomas and Green Commerical and Sons|5139|yolanda70@stewart.net|7681 Lori Inlet|||US||-122.026406|64.884572|WixUARjkgx|Samuel Horn|tid-U8-1335022O
FiXlEfDRpSuNeN|Air Zaire|3151|misty38@air.net|7158 Kaitlin Ferry Suite 420|||US||-95.258622|33.414466|hATMAjQBgo|Terry Ferguson|tid-T7-7609878R
sGZikpQmmFEvCb|Thompson, Thompson and Roman Photographic Group|7221|eric43@thompson.com|88976 Bowers Plains|||US||-89.607566|32.493392|xAoUNnpBGU|Amy Glenn|tid-O9-223226d
JNjKdIMjvciKEx|Gross Group Telecommunications Inc|4812|guzmanjeff@gross.com|47845 Sean Drive Apt. 052|||US||-121.148931|45.996948|laclwAFIFH|Tiffany Flores|tid-E1-888876a
zKsdnjxheBhfgK|Flag Inn|3664|margaretclark@flag.com|24128 Olsen Ford Apt. 120|||US||-156.338639|42.737455|AXYsMbLxqo|Jesse Collins|tid-A1-084412c
gxJYBtOOVLgZWw|Stevens-Stark Contractors Inc|1799|egrimes@stevensstark.net|0408 Erica Avenue|||US||-82.368742|38.770660|zfAMJVZIbG|Gregory Castro|tid-C1-3498562h
fXQwjgGCCJMLRl|Brooks Rent-A-Car|3353|cporter@brooks.com|22989 Anita Underpass Apt. 334|||US||-97.416450|37.924969|WYRLEVqzVF|Craig Campbell|tid-d9-9822413M
OjdLiFBdueXWxI|Golden Pacific Air|3203|jonathanstone@golden.biz|131 Ellis Path|||US||-119.174833|35.636775|ZdXoYrmzIV|Stephen Mckay|tid-z5-2788158D
GQpmtiObDRbiZp|Johnson and Sons Variety Group|5331|ashleyharmon@johnson.biz|4018 Williams Crest|||US||-72.007617|41.225976|WdlBCkHDoq|Sherri Williams|tid-v0-8378849N
