cc_token|card_read_type|trans_start_ts|trans_end_ts|trans_type|trans_amount|trans_currency|trans_auth_code|trans_auth_date|payment_method|origination|is_pin_entry|is_signed|is_unattended|swipe_type|merchant_id|event_ids|event
1c7908b37f923ec8190a498e90439b20b7620da54980ab8ddda5a198e7caa711|5|1601510400.0|1601510408.0|1|1.23|USD|315406|1601510405.0|6|1|1|0|0|1|RYmbpFdWetXVhY|697c5368-6d82-419a-8c92-35b1e7e71f94|
1c7908b37f923ec8190a498e90439b20b7620da54980ab8ddda5a198e7caa711|5|1601510400.0|1601510408.0|1|1.95|USD|779733|1601510403.0|4|1|1|0|1|1|XwvmoGjgxiHQOy|c7e9b9e1-1d5e-4cb2-9c40-d1352c0ae37f|
1c7908b37f923ec8190a498e90439b20b7620da54980ab8ddda5a198e7caa711|5|1601510400.0|1601510408.0|1|0.05|USD|764089|1601510408.0|8|1|1|1|0|1|CcUmnviVzUMZoz|16dd600d-abfa-4d1a-8bd0-c280e600f31c|
f32fc3d3c4a0e620f583ef3f9ca4b6f80f45acb5b19924243a0db38605693dd1|5|1601510400.0|1601510407.0|1|9,909.55|USD|497545|1601510405.0|6|1|0|0|1|1|IhEVjsekkeZUyM|d3f8d7b3-b4e9-4ece-87e9-41adcf1e4fe0|
f32fc3d3c4a0e620f583ef3f9ca4b6f80f45acb5b19924243a0db38605693dd1|5|1601510400.0|1601510407.0|1|1,338.26|USD|683427|1601510405.0|5|1|0|0|1|1|xMkFgOawvtQkOP|2e9150b3-e1c4-4ee4-93f8-dc7df6f07187|
f32fc3d3c4a0e620f583ef3f9ca4b6f80f45acb5b19924243a0db38605693dd1|5|1601510400.0|1601510410.0|1|6.36|USD|557372|1601510406.0|10|1|1|0|0|0|xNGoKAAnwrLzxy|9c7b8b20-51f6-485e-99dd-f90918f09ed5|
38f0ca8bfb9b19c927102f0c69b80717d5b419a46389831d95635759f196a703|5|1601510400.0|1601510407.0|1|11.94|USD|680744|1601510406.0|1|1|0|1|0|1|gPriLBPewTdWxy|ecabdc31-d352-41e1-90b1-ac0e7d5c67a0|
38f0ca8bfb9b19c927102f0c69b80717d5b419a46389831d95635759f196a703|5|1601510400.0|1601510407.0|1|997.76|USD|200281|1601510405.0|5|1|1|0|1|0|swQXAufHcSHjwV|f649d12d-1456-47fb-b2c3-c9c051e014aa|
38f0ca8bfb9b19c927102f0c69b80717d5b419a46389831d95635759f196a703|5|1601510400.0|1601510409.0|1|84,042.64|USD|437701|1601510402.0|4|1|1|0|1|0|FiXlEfDRpSuNeN|37414911-274a-4596-bb98-cd6ab93e66e2|
5610e6c00210e8c1de7102320d651f3fabd47794c84b160e5dea660b87174ce6|5|1601510400.0|1601510407.0|1|731.69|USD|107162|1601510402.0|8|1|1|0|0|1|sGZikpQmmFEvCb|3e0d3782-2893-45d0-99c9-f8890db0d6cb|
5610e6c00210e8c1de7102320d651f3fabd47794c84b160e5dea660b87174ce6|5|1601510400.0|1601510410.0|1|5,496.40|USD|530579|1601510404.0|4|1|1|1|1|1|JNjKdIMjvciKEx|ff488a3a-542d-488e-9f0f-899a7890cde3|
5610e6c00210e8c1de7102320d651f3fabd47794c84b160e5dea660b87174ce6|5|1601510400.0|1601510409.0|1|7.68|USD|537793|1601510400.0|4|1|1|1|1|0|zKsdnjxheBhfgK|c4bf29a8-5619-44f0-8ac0-fca4122e69dc|
eb8fa4b3c7c833a6aa404cb2a590d12c2e9152c8a9d9f4a5863c9b2d292b4f5d|5|1601510400.0|1601510407.0|1|32,625.23|USD|391888|1601510400.0|4|1|1|1|1|0|gxJYBtOOVLgZWw|6bee8822-6c3e-47df-b12e-ce3ac572ec33|
eb8fa4b3c7c833a6aa404cb2a590d12c2e9152c8a9d9f4a5863c9b2d292b4f5d|5|1601510400.0|1601510407.0|1|28.72|USD|713886|1601510401.0|3|1|0|0|1|0|fXQwjgGCCJMLRl|ea50c026-0d53-48f2-858a-8d27997a04ba|
eb8fa4b3c7c833a6aa404cb2a590d12c2e9152c8a9d9f4a5863c9b2d292b4f5d|5|1601510400.0|1601510408.0|1|3.31|USD|113726|1601510402.0|5|1|0|0|1|1|OjdLiFBdueXWxI|b1bb8f4e-7cd0-47fb-b116-4c8d6d78d892|
ce8a3bb1bb4ce8cccbd3f575d1ab523997a51855a5894071d6191a8bb442e3d8|5|1601510400.0|1601510410.0|1|84.19|USD|862703|1601510404.0|1|1|1|1|0|1|GQpmtiObDRbiZp|64a390a3-dc7f-4ab0-819f-9348cd6bd1ee|
ce8a3bb1bb4ce8cccbd3f575d1ab523997a51855a5894071d6191a8bb442e3d8|5|1601510400.0|1601510410.0|1|8,864.70|USD|421487|1601510405.0|5|1|1|0|1|0|qAbhzObGsanhJU|0637b222-6b24-441a-b8fb-e306e958f98d|
ce8a3bb1bb4ce8cccbd3f575d1ab523997a51855a5894071d6191a8bb442e3d8|5|1601510400.0|1601510407.0|1|4.36|USD|526353|1601510406.0|1|1|1|1|0|1|OpqwSrQwfILzws|ab312d37-0b0a-4f62-8f16-4a49a0b03055|
